title,author,ol_work_id
Don Quixote,Miguel de Cervantes,OL503666W
Alice's Adventures in Wonderland,Lewis Carroll,OL138052W
Pride and Prejudice,Jane Austen,OL66554W
Moby-Dick,Herman Melville,OL102749W
Jane Eyre,Charlotte Bronte,OL1095427W
Wuthering Heights,Emily Bronte,OL21177W
The Scarlet Letter,Nathaniel Hawthorne,OL455305W
The Adventures of Huckleberry Finn,Mark Twain,OL37513138W
The Adventures of Tom Sawyer,Mark Twain,OL53919W
Treasure Island,Robert Louis Stevenson,OL24034W
Dracula,Bram Stoker,OL85892W
Frankenstein,Mary Shelley,OL450063W
Gulliver's Travels,Jonathan Swift,OL20600W
Candide,Voltaire,OL100672W
War and Peace,Leo Tolstoy,OL267171W
Anna Karenina,Leo Tolstoy,OL267096W
Crime and Punishment,Fyodor Dostoevsky,OL40766966W
The Brothers Karamazov,Fyodor Dostoevsky,OL10432709W
Great Expectations,Charles Dickens,OL8721462W
David Copperfield,Charles Dickens,OL8662242W
A Tale of Two Cities,Charles Dickens,OL8193465W
Oliver Twist,Charles Dickens,OL8193478W
Les Miserables,Victor Hugo,OL1063588W
The Hunchback of Notre-Dame,Victor Hugo,OL15202030W
Madame Bovary,Gustave Flaubert,OL893707W
The Count of Monte Cristo,Alexandre Dumas,OL36287W
The Three Musketeers,Alexandre Dumas,OL36861W
The Picture of Dorian Gray,Oscar Wilde,OL8193416W
Heart of Darkness,Joseph Conrad,OL38663W
Lord Jim,Joseph Conrad,OL38684W
The Call of the Wild,Jack London,OL14942956W
White Fang,Jack London,OL74504W
The Jungle,Upton Sinclair,OL114967W
Of Mice and Men,John Steinbeck,OL23204W
The Grapes of Wrath,John Steinbeck,OL23205W
East of Eden,John Steinbeck,OL23166W
1984,George Orwell,OL1168083W
Animal Farm,George Orwell,OL1168007W
Brave New World,Aldous Huxley,OL64365W
Fahrenheit 451,Ray Bradbury,OL103123W
The Hobbit,J.R.R. Tolkien,OL27482W
The Lord of the Rings,J.R.R. Tolkien,OL27448W
The Catcher in the Rye,J.D. Salinger,OL3335245W
To Kill a Mockingbird,Harper Lee,OL3140822W
The Great Gatsby,F. Scott Fitzgerald,OL468431W
The Sun Also Rises,Ernest Hemingway,OL62979W
A Farewell to Arms,Ernest Hemingway,OL63072W
For Whom the Bell Tolls,Ernest Hemingway,OL63009W
The Old Man and the Sea,Ernest Hemingway,OL63073W
The Sound and the Fury,William Faulkner,OL82870W
As I Lay Dying,William Faulkner,OL82929W
"Absalom, Absalom!",William Faulkner,OL82928W
The Odyssey,Homer,OL26446888W
The Iliad,Homer,OL61981W
The Aeneid,Virgil,OL16280231W
Paradise Lost,John Milton,OL810991W
Hamlet,William Shakespeare,OL9170454W
Macbeth,William Shakespeare,OL258902W
Romeo and Juliet,William Shakespeare,OL362427W
King Lear,William Shakespeare,OL259026W
Othello,William Shakespeare,OL258850W
The Tempest,William Shakespeare,OL362699W
Robinson Crusoe,Daniel Defoe,OL45089W
Moll Flanders,Daniel Defoe,OL45139W
Tristram Shandy,Laurence Sterne,OL679230W
Emma,Jane Austen,OL66513W
Sense and Sensibility,Jane Austen,OL66562W
Persuasion,Jane Austen,OL66544W
Northanger Abbey,Jane Austen,OL66534W
The Secret Garden,Frances Hodgson Burnett,OL69612W
Little Women,Louisa May Alcott,OL29983W
Anne of Green Gables,L. M. Montgomery,OL77746W
Peter Pan,J. M. Barrie,OL462007W
A Christmas Carol,Charles Dickens,OL32466W
Bleak House,Charles Dickens,OL14868510W
Middlemarch,George Eliot,OL20867W
Silas Marner,George Eliot,OL20874W
The Mill on the Floss,George Eliot,OL20938W
Vanity Fair,William Makepeace Thackeray,OL16313W
The Red and the Black,Stendhal,OL733640W
The Charterhouse of Parma,Stendhal,OL33699441W
The Metamorphosis,Franz Kafka,OL498556W
The Trial,Franz Kafka,OL498463W
The Castle,Franz Kafka,OL498434W
Siddhartha,Hermann Hesse,OL872932W
Steppenwolf,Hermann Hesse,OL872773W
The Stranger,Albert Camus,OL1230613W
The Plague,Albert Camus,OL1230715W
Things Fall Apart,Chinua Achebe,OL891786W
Invisible Man,Ralph Ellison,OL52266W
Native Son,Richard Wright,OL275128W
Beloved,Toni Morrison,OL50548W
Slaughterhouse-Five,Kurt Vonnegut,OL98459W
Catch-22,Joseph Heller,OL276798W
One Hundred Years of Solitude,Gabriel Garcia Marquez,OL274505W
Love in the Time of Cholera,Gabriel Garcia Marquez,OL274518W
Dune,Frank Herbert,OL893415W
On the Road,Jack Kerouac,OL65906W
The Bell Jar,Sylvia Plath,OL1865528W
Gravity's Rainbow,Thomas Pynchon,OL2636675W
